id;name;description;bonus;neutral;punishment
1;Adopcja;Sim ma zaadoptować dziecko w wybranym lub wylosowanym wieku;Sim nie może mieć dzieci w inny sposób, cecha rodzinny;Cecha nie cierpi dzieci, pełna rodzina, nieangażujący się;
2;Dawny znajomy;Sim traci przyjaźń z simem o najmniejszej relacji przyjacielskiej;Cecha samotnik, niezręczny towarzysko;Sim nie ma przyjaciół;
3;Prosty człowiek;Sim nie jest bardzo ambitny, więc zatrudnia się w słabo płatnej pracy np. Sklepie;Cecha leniwy;Cecha ambitny;
4;Nowe święto;Burmistrz tworzy nowe narodowe święto;;;
5;Nowe plany i pragnienia;Sim zmienia aspirację;Wypełnienie wcześniej chociaż jednej aspiracji;;
6;Terapia;Sim jeśli ma wystarczająco punktów aspiracji zmienia 1 cechę,;;Sim nie ma wystarczająco puntktów na zmianę cech;
7;Więzienie/Psychiatryk;W zależności od złej cechy sima dostaje on odpowiednią karę/opiekę;;;
8;Zew natury;Twoja rodzina jedzie do lasu lub przeprowadza się do lasu;Cechy i aspiracje związane z podróżami i style życia;Cecha leniwy, style życia związane z siedzeniem w domu;
9;Nabór do wojska;Jeden sim z twojej rodziny zaciąga się do wojska;Sim jest mężczyzną;Sim jest jedynym żywicielem rodziny;
10;Leniwy dzień;Tego dnia twoi simowie nie idą do szkoły/pracy;;Dziecko jest na granicy odesłania do adopcji;
11;Rodzic odchodzi;Jeden z rodziców po prostu nie może sobie poradzić z wychowaniem, a jego partner/ka jest do kitu (jest to inne od rozwodu, bo musisz także zmniejszyć relację z dziećmi);Odchodzący rodzic ma cechę nie cierpi dzieci lub niski poziom umiejętności wychowawczych;Obydwoje rodziców mają wysoki poziom umiejętności wychowawczych;
12;Rozwód;Czasem (w sumie statystyka pokazuje że nie tak rzadko) małżonkowie nie potrafili się dobrze dobrać, albo stare zadry teraz są nie do naprawienia, więc jeden odchodzi, nie zmienia to relacji z dziećmi na początku;Aspiracja Nieuleczalny romantyk;"Wypełniona aspiracja pokrewna dusza; brak związku małżeńskiego";
13;Słodki maluch;Małe dziecko je tylko słodycze;"Styl życia ""Fan śmieciowego żarcia"", rodzic ma cechę żarłok";"Styl życia ""Fan zdrowego jedzenia"", rodzic ma cechę smakosz";
14;Zdrowotny maluch;Małe dziecko je tylko warzywa i owoce lub warzywne potrawy z lodówki jak groszek – bonus jeśli rodzic ma styl życia fan zdrowego żywienia;"Styl życia ""Fan zdrowego jedzenia""";"Styl życia ""Fan śmieciowego jedzenia"", rodzic ma cechę smakosz";
15;Kolorowe kredki (i farbki) w pudełeczku, a teraz już poza;Dziecko po prostu nie może powstrzymać się od wylewania farby na ziemię, jeśli rodzic ma 0-1 poziom rodzicielstwa zignoruje to, 2-3 skrzyczy, 4-5-kupi zestaw do rysunku 6+ poinstruuje i kupi zestaw do rysunku;;;
16;Wampirze kiełki;Małe dziecko nie może powstrzymać się od gryzienia pluszaka – poziom wychowawczy 0-1 zignoruje, 2-3 skrzyczy, 4+ poinstruuje;Dziecko rzeczywiście jest wampirem;Brak pluszaków w domu;
17;Lalki są już nudne!;Małe dziecko lub dziecko błaga rodziców o nową zabawkę;Rodzic na cechę infantylny;Rodzic ma cechę snob lub nie cierpi dzieci;
18;Uuu..Glina;Pamiętacie tę przeklętą glinę? Dziecko twojego sima się od niej właśnie uzależniło;Rodzic lub dziecko ma cechę kreatywny lub twórca;;
19;Zajęty rodzic;Jeden rodzic lub obydwoje nie mają dużo czasu na malucha i to musi samo uczyć się umiejętności przez 2 dni/kilka dni;Rodzic ma wymagającą pracę lub dziecko ma cechę niezależny;Małe dziecko ma cechę przylepa;
20;"""Ale ja się boję ciemności""";Kupujesz małemu dziecku lampkę nocną, gdy ma cechę ciekawy świata, niezależny,aniołek lub małe dziecko śpi z rodzicami (przez wstawienie łóżeczka do pokoju rodziców lub 1 łóżka do pokoju dziecka) gdy ma cechę przylepa i rozrabiaka wtedy dostaje się bonus , a przy reszcie cech można wybrać ale już bez bonusu;jak w opisie;;
21;Technologia dla każdego;Cała rodzina kupuje, dla każdego jej członka, tablet;Rodzic ma styl życia związany z technologią;"Rodzic ma styl życia ""Technofob""";
22;Fajowe naklejeczki;Naklej naklejki w pokoju dziecka sima;Rodzic jest infantylny;;
